Embedding,TopK,Exact Match,F1
MPNet-Base (768d),1,42.48366013071895,50.186770369804165
MPNet-Base (768d),3,34.64052287581699,42.26155800440658
MPNet-Base (768d),5,19.17211328976035,25.528535441838077
MPNet-Base (768d),10,3.3769063180827885,6.182333463489755
MiniLM-L3 (384d),1,39.869281045751634,47.42512199423032
MiniLM-L3 (384d),3,32.46187363834423,40.32932320018502
MiniLM-L3 (384d),5,14.161220043572985,19.660503401394614
MiniLM-L3 (384d),10,1.0893246187363834,3.760489185945567
MiniLM-L6 (384d),1,41.50326797385621,49.2708018360722
MiniLM-L6 (384d),3,36.16557734204793,44.73108388200581
MiniLM-L6 (384d),5,21.0239651416122,27.762159509785654
MiniLM-L6 (384d),10,2.287581699346405,5.5535301679481
